,movie name,Ratings,Genre,Synopsis,Rating
0,The Lion King,"<span class=""ipl-rating-star__rating"">8.5</span>","<span class=""genre"">
Animation, Adventure, Drama            </span>","<p class="""">
Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.</p>",
1,Aladdin,"<span class=""ipl-rating-star__rating"">8</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.</p>",
2,Beauty and the Beast,"<span class=""ipl-rating-star__rating"">8</span>","<span class=""genre"">
Animation, Family, Fantasy            </span>","<p class="""">
A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.</p>",
3,The Little Mermaid,"<span class=""ipl-rating-star__rating"">7.6</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.</p>",
4,Finding Nemo,"<span class=""ipl-rating-star__rating"">8.2</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.</p>",
5,Toy Story,"<span class=""ipl-rating-star__rating"">8.3</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.</p>",
6,Tangled,"<span class=""ipl-rating-star__rating"">7.7</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.</p>",
7,Sen to Chihiro no kamikakushi,"<span class=""ipl-rating-star__rating"">8.6</span>","<span class=""genre"">
Animation, Adventure, Family            </span>","<p class="""">
During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.</p>",
8,"Monsters, Inc.","<span class=""ipl-rating-star__rating"">8.1</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.</p>",
9,Big Hero 6,"<span class=""ipl-rating-star__rating"">7.8</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<p class="""">
A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.</p>",
10,Inside Out,"<span class=""ipl-rating-star__rating"">8.2</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.</p>",
11,Mary Poppins,"<span class=""ipl-rating-star__rating"">7.8</span>","<span class=""genre"">
Comedy, Family, Fantasy            </span>","<p class="""">
In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.</p>",
12,Lady and the Tramp,"<span class=""ipl-rating-star__rating"">7.3</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.</p>",
13,Up,"<span class=""ipl-rating-star__rating"">8.3</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.</p>",
14,Song of the South,"<span class=""ipl-rating-star__rating"">7</span>","<span class=""genre"">
Animation, Comedy, Family            </span>","<p class="""">
The kindly story-teller Uncle Remus tells a young boy stories about trickster Br'er Rabbit, who outwits Br'er Fox and slow-witted Br'er Bear.</p>",
15,"McFarland, USA","<span class=""ipl-rating-star__rating"">7.4</span>","<span class=""genre"">
Biography, Drama, Sport            </span>","<p class="""">
Jim White moves his family after losing his last job as a football coach, and at his new school he turns seven disappointing students into one of the best cross-country teams in the region.</p>",
16,Mulan,"<span class=""ipl-rating-star__rating"">7.6</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.</p>",
17,Sleeping Beauty,"<span class=""ipl-rating-star__rating"">7.2</span>","<span class=""genre"">
Animation, Adventure, Family            </span>","<p class="""">
After being snubbed by the royal family, a malevolent fairy places a curse on a princess which only a prince can break, along with the help of three good fairies.</p>",
18,Peter Pan,"<span class=""ipl-rating-star__rating"">7.3</span>","<span class=""genre"">
Animation, Adventure, Family            </span>","<p class="""">
Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, Peter Pan.</p>",
19,Robin Hood,"<span class=""ipl-rating-star__rating"">7.5</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
The story of the legendary British outlaw is portrayed with the characters as humanoid animals.</p>",
20,Frozen,"<span class=""ipl-rating-star__rating"">7.4</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.</p>",
21,Toy Story 3,"<span class=""ipl-rating-star__rating"">8.3</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.</p>",
22,Cinderella,"<span class=""ipl-rating-star__rating"">7.3</span>","<span class=""genre"">
Animation, Family, Fantasy            </span>","<p class="""">
When Cinderella's cruel stepmother prevents her from attending the Royal Ball, she gets some unexpected help from the lovable mice Gus and Jaq and from her Fairy Godmother.</p>",
23,Pirates of the Caribbean: The Curse of the Black Pearl,"<span class=""ipl-rating-star__rating"">8.1</span>","<span class=""genre"">
Action, Adventure, Fantasy            </span>","<p class="""">
Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.</p>",
24,WALL·E,"<span class=""ipl-rating-star__rating"">8.4</span>","<span class=""genre"">
Animation, Adventure, Family            </span>","<p class="""">
In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.</p>",
25,The Fox and the Hound,"<span class=""ipl-rating-star__rating"">7.2</span>","<span class=""genre"">
Animation, Adventure, Drama            </span>","<p class="""">
A little fox named Tod, and Copper, a hound puppy, vow to be best buddies forever. But as Copper grows into a hunting dog, their unlikely friendship faces the ultimate test.</p>",
26,Bambi,"<span class=""ipl-rating-star__rating"">7.3</span>","<span class=""genre"">
Animation, Adventure, Drama            </span>","<p class="""">
The story of a young deer growing up in the forest.</p>",
27,Snow White and the Seven Dwarfs,"<span class=""ipl-rating-star__rating"">7.6</span>","<span class=""genre"">
Animation, Adventure, Family            </span>","<p class="""">
Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.</p>",
28,The Jungle Book,"<span class=""ipl-rating-star__rating"">7.6</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.</p>",
29,One Hundred and One Dalmatians,"<span class=""ipl-rating-star__rating"">7.3</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
When a litter of Dalmatian puppies are abducted by the minions of Cruella De Vil, the owners must find them before she uses them for a diabolical fashion statement.</p>",
30,The Many Adventures of Winnie the Pooh,"<span class=""ipl-rating-star__rating"">7.5</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
In this collection of animated shorts based on the stories and characters by A.A. Milne, Winnie the Pooh, a honey-loving teddy bear, embarks on some eccentric adventures.</p>",
31,Wreck-It Ralph,"<span class=""ipl-rating-star__rating"">7.7</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.</p>",
32,The Incredibles,"<span class=""ipl-rating-star__rating"">8</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<p class="""">
While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.</p>",
33,Tarzan,"<span class=""ipl-rating-star__rating"">7.3</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
A man raised by gorillas must decide where he really belongs when he discovers he is a human.</p>",
34,The Great Mouse Detective,"<span class=""ipl-rating-star__rating"">7.2</span>","<span class=""genre"">
Animation, Adventure, Family            </span>","<p class="""">
Basil, the rodent Sherlock Holmes, investigates the kidnapping of a toy maker and uncovers its link to his archenemy, Professor Ratigan.</p>",
35,Ratatouille,"<span class=""ipl-rating-star__rating"">8.1</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.</p>",
36,The Sign of Zorro,"<span class=""ipl-rating-star__rating"">6.9</span>","<span class=""genre"">
Adventure, Drama, Family            </span>","<p class="""">
Don Diego returns from Spain to challenge the cruel tyranny of Monastario.</p>",
37,Brink!,"<span class=""ipl-rating-star__rating"">6.9</span>","<span class=""genre"">
Drama, Family, Sport            </span>","<p class="""">
Andy ""Brink"" Brinker and his in-line skating crew--Peter, Jordy, and Gabriella--who call themselves ""Soul-Skaters"" (which means they skate for the fun of it, and not for the money), clash ...                <a href=""/title/tt0162212/plotsummary"">See full summary</a> »
</p>",
38,Cinderella,"<span class=""ipl-rating-star__rating"">6.9</span>","<span class=""genre"">
Adventure, Drama, Family            </span>","<p class="""">
When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.</p>",
39,Hercules,"<span class=""ipl-rating-star__rating"">7.3</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.</p>",
40,Swiss Family Robinson,"<span class=""ipl-rating-star__rating"">7.1</span>","<span class=""genre"">
Adventure, Family            </span>","<p class="""">
A Swiss family must survive being shipwrecked on a deserted island.</p>",
41,Pinocchio,"<span class=""ipl-rating-star__rating"">7.5</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.</p>",
42,The AristoCats,"<span class=""ipl-rating-star__rating"">7.1</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country.</p>",
43,Alice in Wonderland,"<span class=""ipl-rating-star__rating"">7.4</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
Alice stumbles into the world of Wonderland. Will she get home? Not if the Queen of Hearts has her way.</p>",
44,Tru Confessions,"<span class=""ipl-rating-star__rating"">7.5</span>","<span class=""genre"">
Comedy, Drama, Family            </span>","<p class="""">
Trudy Walker hated her life. She thought it was totally messed up until she found out about a contest that could change everything..</p>",
45,Fantasia,"<span class=""ipl-rating-star__rating"">7.7</span>","<span class=""genre"">
Animation, Family, Fantasy            </span>","<p class="""">
A collection of animated interpretations of great works of Western classical music, ranging from the abstract to depictions of mythology and fantasy, and settings including the prehistoric, supernatural and sacred.</p>",
46,Remember the Titans,"<span class=""ipl-rating-star__rating"">7.8</span>","<span class=""genre"">
Biography, Drama, Sport            </span>","<p class="""">
The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.</p>",
47,Dumbo,"<span class=""ipl-rating-star__rating"">7.2</span>","<span class=""genre"">
Animation, Adventure, Drama            </span>","<p class="""">
Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.</p>",
48,Homeward Bound: The Incredible Journey,"<span class=""ipl-rating-star__rating"">6.9</span>","<span class=""genre"">
Adventure, Comedy, Drama            </span>","<p class="""">
A fun-loving American bulldog pup, a hilarious Himalayan cat, and a wise old golden retriever embark on a long trek through the rugged wilderness of the Sierra Nevada mountains in a quest to reach home and their beloved owners.</p>",
49,Toy Story 2,"<span class=""ipl-rating-star__rating"">7.9</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.</p>",
50,Lilo & Stitch,"<span class=""ipl-rating-star__rating"">7.3</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
A young and parentless girl adopts a 'dog' from the local pound, completely unaware that it's supposedly a dangerous scientific experiment that's taken refuge on Earth and is now hiding from its creator and those who see it as a menace.</p>",
51,The Sword in the Stone,"<span class=""ipl-rating-star__rating"">7.1</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
A poor boy named Arthur learns the power of love, kindness, knowledge and bravery with the help of a wizard called Merlin in the path to become one of the most beloved kings in English history.</p>",
52,The Muppet Movie,"<span class=""ipl-rating-star__rating"">7.6</span>","<span class=""genre"">
Adventure, Comedy, Family            </span>","<p class="""">
Kermit and his newfound friends trek across America to find success in Hollywood, but a frog legs merchant is after Kermit.</p>",
53,The Hunchback of Notre Dame,"<span class=""ipl-rating-star__rating"">7</span>","<span class=""genre"">
Animation, Drama, Family            </span>","<p class="""">
A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer.</p>",
54,Toby Tyler or Ten Weeks with a Circus,"<span class=""ipl-rating-star__rating"">6.9</span>","<span class=""genre"">
Drama, Family            </span>","<p class="""">
Taken in by distant members of his family after being orphaned, Toby Tyler runs away to join the circus.</p>",
55,Old Yeller,"<span class=""ipl-rating-star__rating"">7.3</span>","<span class=""genre"">
Adventure, Drama, Family            </span>","<p class="""">
A teenage boy grows to love a stray yellow dog while helping his mother and younger brother run their Texas homestead while their father is away on a cattle drive. First thought to be good-for-nothing mutt, Old Yeller is soon beloved by all.</p>",
56,The Nightmare Before Christmas,"<span class=""ipl-rating-star__rating"">7.9</span>","<span class=""genre"">
Animation, Family, Fantasy            </span>","<p class="""">
Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.</p>",
57,The Muppet Christmas Carol,"<span class=""ipl-rating-star__rating"">7.7</span>","<span class=""genre"">
Comedy, Drama, Family            </span>","<p class="""">
The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.</p>",
