,Unnamed: 0,movie name,Ratings,Genre,Synopsis,Rating
0,0,The Lion King,8.5,"
Animation, Adventure, Drama            ","
Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",
1,1,Aladdin,8,"
Animation, Adventure, Comedy            ","
A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.",
2,2,Beauty and the Beast,8,"
Animation, Family, Fantasy            ","
A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.",
3,3,The Little Mermaid,7.6,"
Animation, Adventure, Comedy            ","
A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.",
4,4,Finding Nemo,8.2,"
Animation, Adventure, Comedy            ","
After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",
5,5,Toy Story,8.3,"
Animation, Adventure, Comedy            ","
A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.",
6,6,Tangled,7.7,"
Animation, Adventure, Comedy            ","
The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",
7,7,Sen to Chihiro no kamikakushi,8.6,"
Animation, Adventure, Family            ","
During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",
8,8,"Monsters, Inc.",8.1,"
Animation, Adventure, Comedy            ","
In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",
9,9,Big Hero 6,7.8,"
Animation, Action, Adventure            ","
A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",
10,10,Inside Out,8.2,"
Animation, Adventure, Comedy            ","
After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",
11,11,Mary Poppins,7.8,"
Comedy, Family, Fantasy            ","
In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",
12,12,Lady and the Tramp,7.3,"
Animation, Adventure, Comedy            ","
The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.",
13,13,Up,8.3,"
Animation, Adventure, Comedy            ","
78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",
14,14,Song of the South,7,"
Animation, Comedy, Family            ","
The kindly story-teller Uncle Remus tells a young boy stories about trickster Br'er Rabbit, who outwits Br'er Fox and slow-witted Br'er Bear.",
15,15,"McFarland, USA",7.4,"
Biography, Drama, Sport            ","
Jim White moves his family after losing his last job as a football coach, and at his new school he turns seven disappointing students into one of the best cross-country teams in the region.",
16,16,Mulan,7.6,"
Animation, Adventure, Comedy            ","
To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",
17,17,Sleeping Beauty,7.2,"
Animation, Adventure, Family            ","
After being snubbed by the royal family, a malevolent fairy places a curse on a princess which only a prince can break, along with the help of three good fairies.",
18,18,Peter Pan,7.3,"
Animation, Adventure, Family            ","
Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, Peter Pan.",
19,19,Robin Hood,7.5,"
Animation, Adventure, Comedy            ","
The story of the legendary British outlaw is portrayed with the characters as humanoid animals.",
20,20,Frozen,7.4,"
Animation, Adventure, Comedy            ","
When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",
21,21,Toy Story 3,8.3,"
Animation, Adventure, Comedy            ","
The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",
22,22,Cinderella,7.3,"
Animation, Family, Fantasy            ","
When Cinderella's cruel stepmother prevents her from attending the Royal Ball, she gets some unexpected help from the lovable mice Gus and Jaq and from her Fairy Godmother.",
23,23,Pirates of the Caribbean: The Curse of the Black Pearl,8.1,"
Action, Adventure, Fantasy            ","
Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",
24,24,WALL·E,8.4,"
Animation, Adventure, Family            ","
In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",
25,25,The Fox and the Hound,7.2,"
Animation, Adventure, Drama            ","
A little fox named Tod, and Copper, a hound puppy, vow to be best buddies forever. But as Copper grows into a hunting dog, their unlikely friendship faces the ultimate test.",
26,26,Bambi,7.3,"
Animation, Adventure, Drama            ","
The story of a young deer growing up in the forest.",
27,27,Snow White and the Seven Dwarfs,7.6,"
Animation, Adventure, Family            ","
Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",
28,28,The Jungle Book,7.6,"
Animation, Adventure, Comedy            ","
Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.",
29,29,One Hundred and One Dalmatians,7.3,"
Animation, Adventure, Comedy            ","
When a litter of Dalmatian puppies are abducted by the minions of Cruella De Vil, the owners must find them before she uses them for a diabolical fashion statement.",
30,30,The Many Adventures of Winnie the Pooh,7.5,"
Animation, Adventure, Comedy            ","
In this collection of animated shorts based on the stories and characters by A.A. Milne, Winnie the Pooh, a honey-loving teddy bear, embarks on some eccentric adventures.",
31,31,Wreck-It Ralph,7.7,"
Animation, Adventure, Comedy            ","
A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.",
32,32,The Incredibles,8,"
Animation, Action, Adventure            ","
While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",
33,33,Tarzan,7.3,"
Animation, Adventure, Comedy            ","
A man raised by gorillas must decide where he really belongs when he discovers he is a human.",
34,34,The Great Mouse Detective,7.2,"
Animation, Adventure, Family            ","
Basil, the rodent Sherlock Holmes, investigates the kidnapping of a toy maker and uncovers its link to his archenemy, Professor Ratigan.",
35,35,Ratatouille,8.1,"
Animation, Adventure, Comedy            ","
A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.",
36,36,The Sign of Zorro,6.9,"
Adventure, Drama, Family            ","
Don Diego returns from Spain to challenge the cruel tyranny of Monastario.",
37,37,Brink!,6.9,"
Drama, Family, Sport            ","
Andy ""Brink"" Brinker and his in-line skating crew--Peter, Jordy, and Gabriella--who call themselves ""Soul-Skaters"" (which means they skate for the fun of it, and not for the money), clash ...                <a href=""/title/tt0162212/plotsummary"">See full summary</a> »
",
38,38,Cinderella,6.9,"
Adventure, Drama, Family            ","
When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.",
39,39,Hercules,7.3,"
Animation, Adventure, Comedy            ","
The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.",
40,40,Swiss Family Robinson,7.1,"
Adventure, Family            ","
A Swiss family must survive being shipwrecked on a deserted island.",
41,41,Pinocchio,7.5,"
Animation, Adventure, Comedy            ","
A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",
42,42,The AristoCats,7.1,"
Animation, Adventure, Comedy            ","
With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country.",
